source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
NOTTINGHAMSHIRE,8,indirect,430.0,LINCOLNSHIRE,101.0,329.0,0.2848365179642146
ORKNEY,6,direct,491.0,CENTRAL,146.0,345.0,0.137949628914222
ORKNEY,6,indirect,64.0,CENTRAL,13.0,51.0,0.3241499131298089
ORKNEY,7,direct,358.0,CENTRAL,49.0,309.0,0.12617893192330062
ORKNEY,7,indirect,66.0,CENTRAL,5.0,61.0,0.15278065988794357
ORKNEY,8,direct,602.0,CENTRAL,127.0,475.0,0.16566525397189918
ORKNEY,8,indirect,97.0,CENTRAL,12.0,85.0,0.1206999255398362
OXFORDSHIRE,6,direct,1489.0,LINCOLNSHIRE,342.0,1147.0,0.1403119905033519
OXFORDSHIRE,6,indirect,93.0,LINCOLNSHIRE,1.0,92.0,0.38906727023897253
OXFORDSHIRE,7,direct,1515.0,LINCOLNSHIRE,363.0,1152.0,0.25249949556093626
OXFORDSHIRE,7,indirect,79.0,LINCOLNSHIRE,0.0,79.0,0.3751800655898489
OXFORDSHIRE,8,direct,1308.0,LINCOLNSHIRE,415.0,893.0,0.19661685768695086
OXFORDSHIRE,8,indirect,151.0,LINCOLNSHIRE,0.0,151.0,0.4995911036993089
POWYS,6,direct,2382.0,SHROPSHIRE,777.0,1605.0,0.15415930815214393
POWYS,6,indirect,537.0,SHROPSHIRE,45.0,492.0,0.18820342562856235
POWYS,7,direct,2165.0,SHROPSHIRE,702.0,1463.0,0.14938315135493963
POWYS,7,indirect,418.0,SHROPSHIRE,41.0,377.0,0.1896056146577683
POWYS,8,direct,2434.0,SHROPSHIRE,853.0,1581.0,0.2022556349861689
POWYS,8,indirect,517.0,SHROPSHIRE,20.0,497.0,0.17939666468562263
SHETLAND,6,direct,5.0,CUMBRIA,0.0,5.0,0.08108108108108106
SHETLAND,6,indirect,3.0,CUMBRIA,2.0,1.0,0.6153846153846154
SHETLAND,7,direct,13.0,CUMBRIA,0.0,13.0,0.08108108108108106
