target_id,kind,checkpoint,destination,source_total_kg,observed_kg,lower_kg,upper_kg,covered,width_over_source
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Kati,Dakar (Sénégal),34003.2,0.0,0.0,24859.127926671234,True,0.7310820136537513
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Kati,Grand Marché (Raida Didiba Marché rose Dabani),34003.2,0.0,0.0,34003.2,True,1.0
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Kati,Kayes,34003.2,0.0,0.0,23657.050807194963,True,0.6957301314933584
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Kati,Kita,34003.2,0.0,0.0,34003.2,True,1.0
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Kati,Nara,34003.2,0.0,0.0,23857.396993774342,True,0.7016221118534239
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),known_route,Sénou,Sélingué,34003.2,0.0,0.0,23968.700430762885,True,0.7048954342756825
8982689288AAE8DF|2016-05-07|Grand Marché (Raida Didiba Marché rose Dabani),unresolved_route,,UNRESOLVED,34003.2,34003.2,0.0,34003.2,True,1.0
8982689288AAE8DF|2016-05-07|N'golonina (Namassa Dangha) (Marché),known_route,Same,"Kati (in Kati, Kati)",8932.0,6160.0,1573.125131344512,8932.0,True,0.8238776162847613
8982689288AAE8DF|2016-05-07|N'golonina (Namassa Dangha) (Marché),known_route,Same,Kolokani,8932.0,0.0,0.0,6684.761661108319,True,0.7484059181715538
8982689288AAE8DF|2016-05-07|N'golonina (Namassa Dangha) (Marché),known_route,Sénou,Kolondieba,8932.0,0.0,0.0,6347.705057334733,True,0.71067006911495
8982689288AAE8DF|2016-05-07|N'golonina (Namassa Dangha) (Marché),known_route,Sénou,N'golonina (Namassa Dangha) (Marché),8932.0,0.0,0.0,6684.761661108319,True,0.7484059181715538
8982689288AAE8DF|2016-05-07|N'golonina (Namassa Dangha) (Marché),unresolved_route,,UNRESOLVED,8932.0,2772.0,0.0,7358.874868655488,True,0.8238776162847613
8982689288AAE8DF|2016-05-09|N'golonina (Namassa Dangha) (Marché),known_route,Same,"Kati (in Kati, Kati)",3696.0,3696.0,650.9483302115223,3696.0,True,0.8238776162847613
8982689288AAE8DF|2016-05-09|N'golonina (Namassa Dangha) (Marché),known_route,Same,Kolokani,3696.0,0.0,0.0,2766.1082735620625,True,0.7484059181715538
8982689288AAE8DF|2016-05-09|N'golonina (Namassa Dangha) (Marché),known_route,Sénou,Kolondieba,3696.0,0.0,0.0,2626.636575448855,True,0.71067006911495
8982689288AAE8DF|2016-05-09|N'golonina (Namassa Dangha) (Marché),known_route,Sénou,N'golonina (Namassa Dangha) (Marché),3696.0,0.0,0.0,2766.1082735620625,True,0.7484059181715538
8982689288AAE8DF|2016-05-09|N'golonina (Namassa Dangha) (Marché),unresolved_route,,UNRESOLVED,3696.0,0.0,0.0,3045.0516697884777,True,0.8238776162847613
8982689288AAE8DF|2016-05-07|Niaréla,known_route,Sénou,"Bougouni (in Bougouni, Bougouni)",65.0,65.0,20.03286060186787,65.0,True,0.6918021445866482
8982689288AAE8DF|2016-05-07|Niaréla,unresolved_route,,UNRESOLVED,65.0,0.0,0.0,44.96713939813213,True,0.6918021445866482
8982689288AAE8DF|2016-05-08|Niaréla,known_route,Sénou,"Bougouni (in Bougouni, Bougouni)",38038.0,0.0,11723.230024213079,38038.0,False,0.6918021445866481
8982689288AAE8DF|2016-05-08|Niaréla,unresolved_route,,UNRESOLVED,38038.0,38038.0,0.0,26314.76997578692,False,0.6918021445866481
8982689288AAE8DF|2016-05-08|Sebeninkoro,known_route,Sebeninkoro,Banancoro,1601.6,0.0,226.6763518966907,1601.6,False,0.858468811253315
8982689288AAE8DF|2016-05-08|Sebeninkoro,known_route,Sebeninkoro,Kanadjiguila,1601.6,0.0,0.0,1130.23475921442,True,0.705691033475537
8982689288AAE8DF|2016-05-08|Sebeninkoro,known_route,Sebeninkoro,Kourémalé (Mali),1601.6,0.0,0.0,1330.43475921442,True,0.830691033475537
8982689288AAE8DF|2016-05-08|Sebeninkoro,known_route,Sebeninkoro,Siby,1601.6,0.0,0.0,1130.23475921442,True,0.705691033475537
8982689288AAE8DF|2016-05-08|Sebeninkoro,unresolved_route,,UNRESOLVED,1601.6,1601.6,0.0,1374.9236481033092,False,0.858468811253315
8982689288AAE8DF|2016-05-09|Sebeninkoro,known_route,Sebeninkoro,Banancoro,369.6,0.0,52.309927360774786,369.6,False,0.858468811253315
8982689288AAE8DF|2016-05-09|Sebeninkoro,known_route,Sebeninkoro,Kanadjiguila,369.6,0.0,0.0,260.8234059725585,True,0.705691033475537
8982689288AAE8DF|2016-05-09|Sebeninkoro,known_route,Sebeninkoro,Kourémalé (Mali),369.6,0.0,0.0,307.02340597255846,True,0.830691033475537
